case,hh_size,n_adult,n_child,age,sex_code,emp_code,eth_code,mar_code,region_code,tenure_code,lone_parent,educ_code,disp_income_week,eq_scale
1435,1.0,1.0,0.0,74.0,2.0,6.0,1.0,5.0,2.0,7.0,2.0,,152.272,1.0
1436,1.0,1.0,0.0,27.0,2.0,2.0,1.0,4.0,6.0,5.0,2.0,3.0,554.28,1.0
1437,1.0,1.0,0.0,79.0,2.0,6.0,1.0,5.0,6.0,7.0,2.0,,336.292,1.0
1438,2.0,2.0,0.0,73.0,1.0,3.0,1.0,1.0,9.0,7.0,2.0,,743.148,1.5
1439,5.0,2.0,3.0,35.0,1.0,2.0,1.0,1.0,6.0,5.0,2.0,2.0,907.22,2.4
1440,4.0,2.0,2.0,35.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,918.0,2.1
1441,1.0,1.0,0.0,27.0,2.0,2.0,1.0,4.0,10.0,2.0,2.0,3.0,276.94,1.0
1442,2.0,1.0,1.0,31.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,482.11,1.3
1443,5.0,2.0,3.0,56.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1149.35,2.4
1444,2.0,2.0,0.0,28.0,2.0,2.0,10.0,1.0,7.0,3.0,2.0,8.0,844.56,1.5
1445,4.0,2.0,2.0,28.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,908.28,2.1
1446,1.0,1.0,0.0,62.0,1.0,7.0,1.0,7.0,3.0,3.0,2.0,7.0,148.35,1.0
1447,1.0,1.0,0.0,66.0,2.0,6.0,1.0,5.0,6.0,2.0,2.0,,175.332,1.0
1448,2.0,2.0,0.0,68.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,5.0,625.264,1.5
1449,9.0,4.0,5.0,42.0,1.0,7.0,1.0,1.0,6.0,2.0,2.0,,507.5,4.199999999999999
1450,5.0,2.0,3.0,35.0,2.0,7.0,3.0,1.0,7.0,1.0,2.0,,429.1,2.4
1451,1.0,1.0,0.0,77.0,1.0,6.0,3.0,6.0,7.0,7.0,2.0,,765.2,1.0
1452,2.0,2.0,0.0,28.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,665.2694,1.5
1453,4.0,2.0,2.0,42.0,1.0,1.0,1.0,1.0,9.0,5.0,2.0,5.0,970.16,2.1
1454,6.0,1.0,5.0,34.0,2.0,7.0,1.0,4.0,4.0,2.0,1.0,,373.9,2.5
1455,2.0,2.0,0.0,57.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,7.0,794.1796,1.5
1456,4.0,3.0,1.0,51.0,1.0,2.0,1.0,1.0,5.0,7.0,2.0,1.0,1225.06,2.5
1457,2.0,2.0,0.0,34.0,2.0,2.0,1.0,1.0,7.0,3.0,2.0,1.0,539.99,1.5
1458,1.0,1.0,0.0,51.0,1.0,7.0,1.0,7.0,6.0,2.0,2.0,,144.65,1.0
1459,3.0,3.0,0.0,47.0,1.0,2.0,1.0,1.0,10.0,5.0,2.0,7.0,685.02,2.0
1460,2.0,2.0,0.0,67.0,1.0,2.0,1.0,3.0,6.0,7.0,2.0,1.0,1066.74,1.5
1461,2.0,2.0,0.0,29.0,1.0,2.0,1.0,3.0,11.0,5.0,2.0,1.0,1343.7024,1.5
1462,5.0,5.0,0.0,47.0,2.0,3.0,1.0,1.0,8.0,2.0,2.0,4.0,695.51,3.0
1463,2.0,2.0,0.0,62.0,2.0,2.0,1.0,1.0,2.0,7.0,2.0,,996.33,1.5
1464,2.0,2.0,0.0,71.0,1.0,6.0,1.0,1.0,6.0,7.0,2.0,,810.632,1.5
1465,3.0,3.0,0.0,70.0,1.0,3.0,1.0,1.0,10.0,7.0,2.0,,1030.48,2.0
1466,6.0,2.0,4.0,31.0,2.0,3.0,1.0,3.0,10.0,5.0,2.0,4.0,561.27,2.7
1467,4.0,3.0,1.0,49.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,5.0,314.45,2.3
1468,1.0,1.0,0.0,48.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,1.0,111.9888,1.0
1469,2.0,2.0,0.0,80.0,1.0,6.0,1.0,1.0,2.0,7.0,2.0,,698.804,1.5
1470,3.0,3.0,0.0,61.0,1.0,3.0,1.0,1.0,4.0,7.0,2.0,3.0,636.63,2.0
1471,3.0,3.0,0.0,29.0,2.0,2.0,1.0,4.0,7.0,4.0,2.0,3.0,969.7136,2.0
1472,1.0,1.0,0.0,58.0,2.0,3.0,1.0,5.0,9.0,2.0,2.0,7.0,195.13,1.0
1473,1.0,1.0,0.0,67.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,,197.89,1.0
1474,1.0,1.0,0.0,34.0,2.0,2.0,1.0,4.0,4.0,7.0,2.0,3.0,379.5306,1.0
1475,1.0,1.0,0.0,80.0,1.0,6.0,1.0,6.0,8.0,7.0,2.0,,259.272,1.0
1476,1.0,1.0,0.0,66.0,2.0,6.0,1.0,5.0,1.0,1.0,2.0,,130.292,1.0
1477,1.0,1.0,0.0,78.0,2.0,6.0,10.0,5.0,7.0,2.0,2.0,,153.85,1.0
1478,3.0,3.0,0.0,52.0,2.0,2.0,1.0,1.0,12.0,5.0,2.0,2.0,1101.79,2.0
1479,2.0,2.0,0.0,32.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,908.67,1.5
1480,4.0,2.0,2.0,32.0,1.0,2.0,1.0,1.0,11.0,5.0,2.0,2.0,629.51,2.1
1481,2.0,2.0,0.0,60.0,1.0,2.0,1.0,1.0,4.0,7.0,2.0,6.0,793.23,1.5
1482,2.0,2.0,0.0,61.0,2.0,3.0,1.0,1.0,2.0,7.0,2.0,5.0,604.58,1.5
1483,2.0,2.0,0.0,46.0,2.0,2.0,1.0,4.0,8.0,2.0,2.0,7.0,737.99,1.5
1484,1.0,1.0,0.0,69.0,1.0,6.0,1.0,4.0,2.0,7.0,2.0,,217.482,1.0
1485,3.0,3.0,0.0,65.0,1.0,2.0,1.0,1.0,6.0,5.0,2.0,1.0,1630.56,2.0
1486,1.0,1.0,0.0,47.0,1.0,2.0,1.0,4.0,5.0,3.0,2.0,6.0,331.46,1.0
1487,2.0,2.0,0.0,77.0,1.0,6.0,1.0,1.0,5.0,7.0,2.0,,524.46,1.5
1488,1.0,1.0,0.0,29.0,1.0,7.0,3.0,4.0,4.0,3.0,2.0,1.0,480.77,1.0
1489,2.0,2.0,0.0,53.0,2.0,2.0,1.0,7.0,8.0,5.0,2.0,5.0,549.45,1.5
1490,1.0,1.0,0.0,51.0,1.0,3.0,1.0,4.0,8.0,3.0,2.0,3.0,234.55,1.0
1491,2.0,2.0,0.0,65.0,1.0,6.0,1.0,1.0,4.0,1.0,2.0,,204.224,1.5
1492,1.0,1.0,0.0,62.0,2.0,2.0,1.0,7.0,11.0,2.0,2.0,1.0,391.35,1.0
1493,4.0,4.0,0.0,20.0,1.0,7.0,1.0,4.0,3.0,4.0,2.0,3.0,500.0,2.5
1494,2.0,2.0,0.0,26.0,2.0,7.0,1.0,4.0,11.0,4.0,2.0,1.0,788.46,1.5
1495,4.0,4.0,0.0,53.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,1054.87,2.5
1496,5.0,5.0,0.0,25.0,1.0,2.0,3.0,1.0,8.0,5.0,2.0,1.0,1553.28,2.5
1497,1.0,1.0,0.0,79.0,1.0,6.0,1.0,5.0,3.0,7.0,2.0,,249.77,1.0
1498,1.0,1.0,0.0,60.0,2.0,7.0,1.0,7.0,2.0,2.0,2.0,6.0,224.432,1.0
1499,2.0,2.0,0.0,53.0,2.0,2.0,1.0,3.0,8.0,5.0,2.0,1.0,1630.56,1.5
1500,2.0,2.0,0.0,48.0,2.0,3.0,1.0,1.0,3.0,7.0,2.0,1.0,841.24,1.5
1501,5.0,3.0,2.0,68.0,2.0,3.0,1.0,7.0,6.0,7.0,2.0,,749.3,2.6
1502,2.0,2.0,0.0,64.0,1.0,3.0,3.0,1.0,3.0,7.0,2.0,1.0,1630.56,1.5
1503,2.0,2.0,0.0,57.0,2.0,2.0,1.0,3.0,11.0,5.0,2.0,2.0,892.632,1.5
1504,2.0,2.0,0.0,70.0,1.0,6.0,1.0,1.0,9.0,3.0,2.0,,256.95,1.5
1505,2.0,2.0,0.0,37.0,1.0,2.0,1.0,1.0,8.0,5.0,2.0,4.0,1197.5606,1.5
1506,4.0,3.0,1.0,47.0,1.0,7.0,3.0,1.0,3.0,3.0,2.0,,360.49,2.3
1507,2.0,2.0,0.0,63.0,2.0,6.0,1.0,1.0,2.0,7.0,2.0,3.0,506.502,1.5
1508,5.0,5.0,0.0,22.0,2.0,7.0,1.0,4.0,9.0,3.0,2.0,3.0,784.362,3.0
1509,2.0,2.0,0.0,32.0,1.0,2.0,1.0,3.0,8.0,5.0,2.0,1.0,1630.56,1.5
1510,1.0,1.0,0.0,69.0,1.0,6.0,1.0,6.0,8.0,1.0,2.0,,143.85,1.0
1511,5.0,3.0,2.0,45.0,1.0,1.0,1.0,1.0,9.0,5.0,2.0,4.0,965.72,2.8
1512,2.0,2.0,0.0,56.0,1.0,7.0,1.0,1.0,2.0,5.0,2.0,1.0,255.77,1.5
1513,2.0,2.0,0.0,51.0,1.0,1.0,1.0,8.0,7.0,5.0,2.0,7.0,336.06,1.5
1514,4.0,3.0,1.0,50.0,2.0,2.0,1.0,6.0,1.0,5.0,1.0,5.0,840.57,2.5
1515,4.0,2.0,2.0,43.0,1.0,2.0,1.0,1.0,9.0,5.0,2.0,1.0,1157.2,2.1
1516,2.0,2.0,0.0,63.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0,,592.904,1.5
1517,3.0,2.0,1.0,39.0,1.0,2.0,1.0,1.0,8.0,5.0,2.0,6.0,1220.78,1.8
1518,1.0,1.0,0.0,52.0,2.0,3.0,1.0,5.0,7.0,7.0,2.0,5.0,257.49,1.0
1519,5.0,2.0,3.0,34.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,7.0,523.0,2.4
1520,2.0,1.0,1.0,27.0,2.0,7.0,1.0,7.0,8.0,3.0,1.0,7.0,109.0,1.3
1521,2.0,2.0,0.0,70.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,,235.908,1.5
1522,2.0,2.0,0.0,53.0,2.0,2.0,1.0,3.0,6.0,5.0,2.0,2.0,349.3136,1.5
1523,3.0,1.0,2.0,45.0,2.0,2.0,1.0,7.0,7.0,7.0,1.0,7.0,693.4826,1.6
1524,2.0,2.0,0.0,64.0,2.0,6.0,1.0,3.0,5.0,3.0,2.0,,116.792,1.5
1525,1.0,1.0,0.0,80.0,1.0,6.0,1.0,5.0,4.0,7.0,2.0,,186.78,1.0
1526,2.0,2.0,0.0,69.0,1.0,6.0,1.0,1.0,2.0,7.0,2.0,8.0,398.934,1.5
1527,1.0,1.0,0.0,80.0,1.0,6.0,1.0,4.0,6.0,7.0,2.0,,496.172,1.0
1528,2.0,2.0,0.0,37.0,1.0,2.0,1.0,3.0,8.0,2.0,2.0,2.0,797.95,1.5
1529,1.0,1.0,0.0,66.0,2.0,6.0,1.0,6.0,9.0,3.0,2.0,5.0,138.22,1.0
1530,3.0,3.0,0.0,53.0,2.0,2.0,1.0,5.0,6.0,7.0,1.0,4.0,1047.6554,2.0
1531,1.0,1.0,0.0,20.0,1.0,4.0,1.0,4.0,11.0,8.0,2.0,2.0,50.0,1.0
1532,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,9.0,7.0,2.0,,208.174,1.0
1533,6.0,3.0,3.0,54.0,1.0,2.0,10.0,1.0,2.0,5.0,2.0,7.0,1156.09,2.9
1534,7.0,3.0,4.0,50.0,1.0,4.0,3.0,1.0,7.0,2.0,2.0,,423.092,3.6
1535,2.0,2.0,0.0,62.0,1.0,2.0,1.0,7.0,6.0,2.0,2.0,7.0,785.51,1.5
1536,1.0,1.0,0.0,76.0,1.0,6.0,1.0,6.0,10.0,1.0,2.0,,177.342,1.0
1537,1.0,1.0,0.0,58.0,2.0,2.0,1.0,4.0,8.0,1.0,2.0,,249.04,1.0
1538,2.0,2.0,0.0,71.0,1.0,6.0,1.0,1.0,3.0,7.0,2.0,,304.6,1.5
1539,2.0,2.0,0.0,36.0,2.0,2.0,1.0,8.0,10.0,3.0,2.0,1.0,638.47,1.5
1540,4.0,1.0,3.0,38.0,2.0,1.0,1.0,6.0,9.0,3.0,1.0,3.0,305.57,2.1
